"","iso_a3","region_id","country","income_id","gdp","population","total_waste","composition_food_organic_waste_percent","composition_glass_percent","composition_metal_percent","composition_other_percent","composition_paper_cardboard_percent","composition_plastic_percent","composition_rubber_leather_percent","composition_wood_percent","composition_yard_garden_green_waste_percent","country_name","continent"
"60","MMR","East_Asia_Pacific","Myanmar","LMC",1093.7880859375,46095464,4677306.52914,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myanmar","Asia"
"61","KAZ","Europe_Central_Asia","Kazakhstan","UMC",22702.580078125,16791424,4659740,30,5,3,7,25,25,NA,2.5,NA,"Kazakhstan","Asia"
"62","SWE","Europe_Central_Asia","Sweden","HIC",52608.7109375,10285453,4618168.5,23.34,9.15,9.2,NA,36.4,6.58,NA,NA,15.33,"Sweden","Europe"
"63","SYR","Middle_East_North_Africa","Syrian Arab Republic","LIC",8587.05078125,20824892,4500000,57,3,4,22,7,7,NA,NA,NA,"Syria","Asia"
"64","CIV","Sub-Saharan_Africa","Côte d’Ivoire","LMC",3660.90283203125,20401332,4440814.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Côte d'Ivoire","Africa"
"65","RWA","Sub-Saharan_Africa","Rwanda","LIC",1950.52807617188,11917508,4384969,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rwanda","Africa"
"66","BLR","Europe_Central_Asia","Belarus","UMC",18307.51953125,9489616,4280000,30,8,2,35,5,12,6,2,NA,"Belarus","Europe"
"67","AGO","Sub-Saharan_Africa","Angola","LMC",8036.6904296875,25096150,4213643.585,51.8,6.7,4.4,11.5,11.9,13.5,NA,NA,NA,"Angola","Africa"
"68","PRI","Latin_America","Puerto Rico","HIC",34311.03125,3473181,4170953,13.1,2.4,10.4,23.8,19.4,10.4,NA,NA,20.5,"Puerto Rico","North America"
"69","NOR","Europe_Central_Asia","Norway","HIC",64962.26171875,5347896,4149967.25,15.49,4.6,6.12,13.15,26.57,2.25,NA,17.21,14.68,"Norway","Europe"
"70","DOM","Latin_America","Dominican Republic","UMC",15328.3525390625,10528394,4063910,51,6,3,10,16,10,NA,4,NA,"Dominican Republic","North America"
"71","UZB","Europe_Central_Asia","Uzbekistan","LMC",5164.2744140625,29774500,4e+06,40,3,2,17.5,17.5,2.5,1.5,4,NA,"Uzbekistan","Asia"
"72","MDA","Europe_Central_Asia","Moldova","LMC",10360.830078125,3554108,3981200,55,4,3,23,5,10,NA,NA,NA,"Moldova","Europe"
"73","HUN","Europe_Central_Asia","Hungary","HIC",32643.490234375,9769949,3780970.25,22.5,3.5,1.8,45.9,13.4,13,NA,NA,NA,"Hungary","Europe"
"74","MDG","Sub-Saharan_Africa","Madagascar","LIC",1565.86694335938,24894552,3768759.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Madagascar","Africa"
"75","GHA","Sub-Saharan_Africa","Ghana","LMC",3092.59692382812,21542008,3538274.97825,67,0,1,25,3,4,NA,NA,NA,"Ghana","Africa"
"76","NZL","East_Asia_Pacific","New Zealand","HIC",41857.4765625,4692700,3405000,28,4,4.5,37,7,8,1,11,NA,"New Zealand","Oceania"
"77","CMR","Sub-Saharan_Africa","Cameroon","LMC",3262.763671875,21655716,3270616.59,83.4,0.1,0.7,10.4,2.1,3.3,NA,NA,NA,"Cameroon","Africa"
"78","FIN","Europe_Central_Asia","Finland","HIC",48814.30859375,5520314,3124497.75,35.88,9.24,1.7,13.13,37.83,1.45,NA,0.73,NA,"Finland","Europe"
"79","AZE","Europe_Central_Asia","Azerbaijan","UMC",14853.91015625,9649341,2930349,45.19,5.28,3.49,13.73,10.93,7.87,3.09,NA,10.42,"Azerbaijan","Asia"
"80","IRL","Europe_Central_Asia","Ireland","HIC",83388.71875,4867316,2910655,16.6,8.5,3.7,25.8,25,12.4,NA,1.9,6.1,"Ireland","Europe"
"81","MNG","East_Asia_Pacific","Mongolia","LMC",10940.4150390625,3027398,2900000,22.7,NA,NA,50.1,12.7,14.5,NA,NA,NA,"Mongolia","Asia"
"82","BGR","Europe_Central_Asia","Bulgaria","UMC",22279.361328125,7025037,2859190,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,"Bulgaria","Europe"
"83","SDN","Sub-Saharan_Africa","Sudan","LMC",4191.8232421875,38647804,2831291,51.4,3.5,1.7,18.9,11.8,12.7,NA,NA,NA,"Sudan","Africa"
"84","GTM","Latin_America","Guatemala","UMC",8125.36474609375,16252429,2756740.97135,37.7144911834619,4.39183557981429,NA,18.0184736413703,16.0467021530789,17.2908087510093,NA,NA,6.53768869126523,"Guatemala","North America"
"85","TUN","Middle_East_North_Africa","Tunisia","LMC",10505.2626953125,11143908,2700000,68,2,4,5,10,11,NA,NA,NA,"Tunisia","Africa"
"86","CUB","Latin_America","Cuba","UMC",12984.7109375,11303687,2692691.98,68.9,4.6,1.6,3,12.3,9.6,NA,NA,NA,"Cuba","North America"
"87","SSD","Sub-Saharan_Africa","South Sudan","LIC",1795.99194335938,11177490,2680681,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Sudan","Africa"
"88","LKA","South_asia","Sri Lanka","LMC",12287.47265625,21203000,2631650,62,2,3,13,7,7,NA,6,NA,"Sri Lanka","Asia"
"89","ZMB","Sub-Saharan_Africa","Zambia","LMC",3201.28930664062,14264756,2608268,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zambia","Africa"
"90","BFA","Sub-Saharan_Africa","Burkina Faso","LIC",1925.33117675781,18110624,2575251.11,21,1,1,61,7,9,NA,NA,NA,"Burkina Faso","Africa"
"91","JOR","Middle_East_North_Africa","Jordan","UMC",10413.17578125,8413464,2529997,50,2,1.5,15.5,15,16,NA,NA,NA,"Jordan","Asia"
"92","MOZ","Sub-Saharan_Africa","Mozambique","LIC",1217.09020996094,27212382,2500000,60,NA,NA,15,25,NA,NA,NA,NA,"Mozambique","Africa"
"93","SEN","Sub-Saharan_Africa","Senegal","LIC",3067.66259765625,15411614,2454059.25,12,2,2,68,5,9,NA,2,NA,"Senegal","Africa"
"94","SRB","Europe_Central_Asia","Serbia","UMC",18351.2734375,6944975,2347401.5,37.62,5.44,1.38,16.72,13.57,12.73,0.4,NA,12.14,"Serbia","Europe"
"95","SOM","Sub-Saharan_Africa","Somalia","LIC",1862.61413574219,14317996,2326099.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somalia","Africa"
"96","HTI","Latin_America","Haiti","LIC",2952.61865234375,10847334,2309852.45485,61.3,1.6,2.5,16.8,4.1,12.7,NA,1,NA,"Haiti","North America"
"97","SVK","Europe_Central_Asia","Slovak Republic","HIC",31965.76171875,5454073,2296164.75,42,19,2,1,25,11,NA,NA,NA,"Slovakia","Europe"
"98","BOL","Latin_America","Bolivia","LMC",7984.41357421875,10724705,2219052,55.1969111969112,2.9034749034749,2.5019305019305,22.7027027027027,6.5019305019305,10.1930501930502,NA,NA,NA,"Bolivia","South America"
"99","HND","Latin_America","Honduras","LMC",5395.61376953125,9112867,2162027.69575,57.9,1.27,2.11,6.62,17.36,14.41,0.33,NA,NA,"Honduras","North America"
"100","LBY","Middle_East_North_Africa","Libya","UMC",8479.9462890625,6193501,2147596.47175,70.1,3.1,4.3,3.8,5.5,7.5,NA,2.5,NA,"Libya","Africa"
"101","LBN","Middle_East_North_Africa","Lebanon","UMC",16966.740234375,5603279,2040000,52.5,3.5,5.5,11,16,11.5,NA,NA,NA,"Lebanon","Asia"
"102","MLI","Sub-Saharan_Africa","Mali","LIC",2007.80603027344,16006670,1937354.44,17.5,1,3.5,72.5,3.5,2,NA,NA,NA,"Mali","Africa"
"103","BDI","Sub-Saharan_Africa","Burundi","LIC",839.778503417969,6741569,1872016,81,2.9,2.1,3.2,7.3,3.5,NA,NA,NA,"Burundi","Africa"
"104","SGP","East_Asia_Pacific","Singapore","HIC",97341.46875,5703600,1870000,10.51,0.93,19.12,32.3,14.86,10.58,1.96,5.5,4.26,"Singapore","Asia"
"105","NER","Sub-Saharan_Africa","Niger","LIC",1038.22412109375,8842415,1865645.67,38,NA,1,57,2,2,NA,NA,NA,"Niger","Africa"
"106","PRY","Latin_America","Paraguay","UMC",11810.427734375,6639119,1818501.3648,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paraguay","South America"
"107","HRV","Europe_Central_Asia","Croatia","HIC",28829.35546875,4067500,1810037.5,30.9,3.7,2.1,11.5,23.2,22.9,NA,NA,5.7,"Croatia","Europe"
"108","TJK","Europe_Central_Asia","Tajikistan","LIC",2616.4755859375,8177809,1787400,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tajikistan","Asia"
"109","NPL","South_asia","Nepal","LIC",2902.24926757812,28982772,1768977.49,52.39,4.36,1.9,7.12,18.21,15.14,0.9,NA,NA,"Nepal","Asia"
"110","KWT","Middle_East_North_Africa","Kuwait","HIC",58810.30078125,2998083,1750000,45,4,2,8,20,20,NA,1,1,"Kuwait","Asia"
"111","OMN","Middle_East_North_Africa","Oman","HIC",30535.833984375,3960925,1734885.15,27,6,NA,24,15,21,NA,2,5,"Oman","Asia"
"112","SLV","Latin_America","El Salvador","LMC",7328.71337890625,6164626,1648996.18,65,4,2,7,12,10,NA,NA,NA,"El Salvador","North America"
"113","NIC","Latin_America","Nicaragua","LMC",4611.84033203125,5737723,1528816.29335,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nicaragua","North America"
"114","PAN","Latin_America","Panama","HIC",28436.359375,3969249,1472262.21515,46.4,5.8,3.8,5.7,26.3,12,NA,NA,NA,"Panama","North America"
"115","CRI","Latin_America","Costa Rica","UMC",18168.71484375,4757575,1460000,58,1,2,7,21,11,NA,NA,NA,"Costa Rica","North America"
"116","ZWE","Sub-Saharan_Africa","Zimbabwe","LIC",3190.50659179688,12500525,1449752,36,5,6,3,27,23,NA,NA,NA,"Zimbabwe","Africa"
"117","PSE","Middle_East_North_Africa","West Bank and Gaza","LMC",5985.68310546875,4046901,1387000,59.1,2.4,2.7,11.5,10.1,14.2,NA,NA,NA,"Palestine","Asia"
"118","TCD","Sub-Saharan_Africa","Chad","LIC",1732.69128417969,11887202,1358850.53,70,1,2,18,3,6,NA,NA,NA,"Chad","Africa"
"119","LTU","Europe_Central_Asia","Lithuania","HIC",37278.3046875,2786844,1315390.375,40.4,8.65,2.75,44.05,10.05,10.15,NA,0.6,NA,"Lithuania","Europe"
"120","MWI","Sub-Saharan_Africa","Malawi","LIC",999.441345214844,16577147,1297844.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Malawi","Africa"
"121","URY","Latin_America","Uruguay","HIC",20588.392578125,3431552,1260139.50865,53.5,3,5,7.5,20,11,NA,NA,NA,"Uruguay","South America"
"122","BIH","Europe_Central_Asia","Bosnia and Herzegovina","UMC",12671.0078125,3535961,1248718,NA,NA,NA,92.7,4.9,NA,NA,NA,2.4,"Bosnia and Herzegovina","Europe"
"123","KGZ","Europe_Central_Asia","Kyrgyz Republic","LMC",4805.14111328125,5956900,1113300,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kyrgyzstan","Asia"
"124","TGO","Sub-Saharan_Africa","Togo","LIC",1404.13293457031,7228915,1109030.45,38,2,4,42,4,10,NA,NA,NA,"Togo","Africa"
"125","CAF","Sub-Saharan_Africa","Central African Republic","LIC",822.610473632812,4515392,1105983,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Central African Republic","Africa"
"126","KHM","East_Asia_Pacific","Cambodia","LMC",3364.27880859375,15270790,1089000,66.6,2.6,2,10.4,4,8.6,NA,5.8,NA,"Cambodia","Asia"
"127","ALB","Europe_Central_Asia","Albania","UMC",13724.05859375,2854191,1087446.75,51.4,4.5,4.8,15.21,9.9,9.6,NA,4.6,NA,"Albania","Europe"
"128","SVN","Europe_Central_Asia","Slovenia","HIC",39037.93359375,2087946,1052324.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Slovenia","Europe"
"129","JAM","Latin_America","Jamaica","UMC",9550.810546875,2881355,1051694.575,62.22,2.81,2.38,5.13,14.73,12.2,NA,0.53,NA,"Jamaica","North America"
"130","QAT","Middle_East_North_Africa","Qatar","HIC",96261.6640625,2109568,1000990.016,57,4,9,5,11,14,NA,NA,NA,"Qatar","Asia"
"131","PNG","East_Asia_Pacific","Papua New Guinea","LMC",3912.38110351562,7755785,1e+06,31,NA,NA,42,16.6,10,NA,NA,NA,"Papua New Guinea","Oceania"
"132","BHR","Middle_East_North_Africa","Bahrain","HIC",47937.77734375,1425171,951942.96945,59.1,3.4,2.1,15.2,12.8,7.4,NA,NA,NA,"Bahrain","Asia"
"133","LVA","Europe_Central_Asia","Latvia","HIC",30982.173828125,1912789,839714.375,46.7,21.4,2.6,9.7,6.1,7.7,3.6,2.4,NA,"Latvia","Europe"
"134","GEO","Europe_Central_Asia","Georgia","LMC",12605.1396484375,3717100,8e+05,39,3,5,16,34,3,NA,NA,NA,"Georgia","Asia"
"135","CYP","Europe_Central_Asia","Cyprus","HIC",39544.68359375,1198575,769485.125,41.47,2.66,3.25,10.07,25.7,14.77,NA,2.08,NA,"Cyprus","Asia"
"136","TTO","Latin_America","Trinidad and Tobago","HIC",28910.908203125,1328100,727874,27.15,10.15,3.74,17.19,22.6,19.17,NA,NA,NA,"Trinidad and Tobago","North America"
"137","ERI","Sub-Saharan_Africa","Eritrea","LIC",1714.55236816406,4474690,726957.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eritrea","Africa"
"138","BEN","Sub-Saharan_Africa","Benin","LIC",2227.35229492188,5521763,685936.01,52.1,1.6,1.6,34.3,3.1,7.3,NA,NA,NA,"Benin","Africa"
"139","MKD","Europe_Central_Asia","Macedonia, FYR","UMC",16147.7294921875,2082958,626970.375,29.3,4.1,2.5,19.8,12.8,13.9,0.9,0.7,16,"Macedonia","Europe"
"140","SLE","Sub-Saharan_Africa","Sierra Leone","LIC",1237.63024902344,5439695,610222.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sierra Leone","Africa"
"141","GIN","Sub-Saharan_Africa","Guinea","LIC",1622.77685546875,8132552,596911,58,1,1,27,9,4,NA,NA,NA,"Guinea","Africa"
"142","LBR","Sub-Saharan_Africa","Liberia","LIC",1333.42224121094,3512932,564466.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Liberia","Africa"
"143","TKM","Europe_Central_Asia","Turkmenistan","UMC",11471.1865234375,5366277,5e+05,16.18,4.64,11.44,62.54,NA,2.19,NA,3.01,NA,"Turkmenistan","Asia"
"144","ARM","Europe_Central_Asia","Armenia","UMC",11019.8388671875,2906220,492800,57,3.2,3.4,17.4,6.7,11.4,0.3,0.6,NA,"Armenia","Asia"
"145","LUX","Europe_Central_Asia","Luxembourg","HIC",114323.40625,619896,490337.75,30,4,2,27,19,18,NA,NA,NA,"Luxembourg","Europe"
"146","EST","Europe_Central_Asia","Estonia","HIC",36956.28515625,1326590,489511.71875,36.7,8.3,2.6,15.9,17.5,18.6,NA,0.4,NA,"Estonia","Europe"
"147","MRT","Sub-Saharan_Africa","Mauritania","LMC",4783.6357421875,3506288,454000,4.8,4,4.2,59.7,7.3,20,NA,NA,NA,"Mauritania","Africa"
"148","COG","Sub-Saharan_Africa","Congo, Rep.","LMC",4899.57958984375,2648507,451200,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Republic of Congo","Africa"
"149","MUS","Sub-Saharan_Africa","Mauritius","UMC",20646.93359375,1263473,438000,64,2.8,NA,8,13,12.4,NA,NA,NA,"Mauritius","Seven seas (open ocean)"
"150","MAC","East_Asia_Pacific","Macao SAR, China","HIC",117335.5859375,612167,377942,3.1,3.3,1.7,3.1,58.7,7.9,NA,22.3,NA,"Macao","Asia"
"151","LAO","East_Asia_Pacific","Lao PDR","LMC",6543.6669921875,6663967,351900,16.9,9.3,3.7,20.3,2.8,6.1,1.1,38.2,1.2,"Lao PDR","Asia"
"152","MLT","Middle_East_North_Africa","Malta","HIC",43707.5390625,502653,348841.1875,52,6,4,9.5,18,12,NA,NA,NA,"Malta","Europe"
"153","MNE","Europe_Central_Asia","Montenegro","UMC",20752.62109375,622227,329780.3125,33.82,8.97,2.9,19.46,13.72,18.42,NA,2.7,NA,"Montenegro","Europe"
"154","XKX","Europe_Central_Asia","Kosovo","LMC",9723.5615234375,1801800,319000,42,6,6,20,8,11,NA,7,NA,NA,NA
"155","GNB","Sub-Saharan_Africa","Guinea-Bissau","LIC",1800.06860351562,1770526,289514,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guinea-Bissau","Africa"
"156","BHS","Latin_America","Bahamas, The","HIC",35400.08203125,386838,264000,46,7,7,12,15,13,NA,NA,NA,"Bahamas","North America"
"157","NAM","Sub-Saharan_Africa","Namibia","UMC",6152.9873046875,1559983,256729,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Namibia","Africa"
"158","GAB","Sub-Saharan_Africa","Gabon","UMC",18514.65234375,1086137,238102.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gabon","Africa"
"159","ISL","Europe_Central_Asia","Iceland","HIC",55274.1875,343400,225270.40625,10,NA,NA,NA,38,9,NA,29,14,"Iceland","Europe"
"160","SWZ","Sub-Saharan_Africa","Eswatini","LMC",8321.1064453125,1343098,218199.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Swaziland","Africa"
"161","BRN","East_Asia_Pacific","Brunei Darussalam","HIC",60865.98828125,423196,216253.156,36,3,4,15,18,16,1,1,6,"Brunei Darussalam","Asia"
"162","MDV","South_asia","Maldives","UMC",17284.609375,409163,211505.78,24,NA,1,1,6,3,NA,NA,65,"Maldives","Seven seas (open ocean)"
"163","BWA","Sub-Saharan_Africa","Botswana","UMC",14126.3896484375,2014866,210854.442618916,8.1,NA,0.1,91.9,NA,NA,NA,NA,NA,"Botswana","Africa"
